,model,example_index,configuration_index,reference_object,target_object,containment_high_containment_cos,containment_behind_cos,containment_support_cos,high_containment_behind_cos,high_containment_support_cos,behind_support_cos
705,resnext-imagenet,65,4,Basket,Knight,0.8044388890266418,0.8090604543685913,0.7841584086418152,0.8825929760932922,0.7680763006210327,0.8462586998939514
706,resnext-imagenet,66,4,Basket,Lego,0.8653016090393066,0.8168984055519104,0.7798160314559937,0.8504898548126221,0.8198865056037903,0.8403391242027283
707,resnext-imagenet,67,4,Basket,Pineapple,0.7840816974639893,0.817272961139679,0.7598460912704468,0.8592808246612549,0.7311990857124329,0.8288311958312988
708,resnext-imagenet,68,4,Basket,Robot,0.7329031229019165,0.8091564178466797,0.7496683597564697,0.82011878490448,0.7407824993133545,0.7867671847343445
709,resnext-imagenet,69,4,Basket,RubberDuck,0.816215991973877,0.8355794548988342,0.797539234161377,0.7841215133666992,0.8247312307357788,0.8153387308120728
710,resnext-imagenet,70,4,Basket,Teddy,0.7969722151756287,0.828303337097168,0.7287246584892273,0.7701156735420227,0.7297546863555908,0.8071028590202332
711,resnext-imagenet,71,4,Basket,Truck,0.8479801416397095,0.8298206329345703,0.7489953637123108,0.8743720650672913,0.8108705282211304,0.7931638956069946
712,resnext-imagenet,72,4,WoodenBasket,BeachBall,0.7415304780006409,0.7732614874839783,0.7795103788375854,0.8394907712936401,0.8351542353630066,0.7860457301139832
713,resnext-imagenet,73,4,WoodenBasket,Knight,0.7316778898239136,0.7455905675888062,0.7568246126174927,0.8736537098884583,0.7158312797546387,0.7652997970581055
714,resnext-imagenet,74,4,WoodenBasket,Lego,0.7481541633605957,0.7827167510986328,0.7046781182289124,0.8290604948997498,0.729427695274353,0.7547562718391418
715,resnext-imagenet,75,4,WoodenBasket,Pineapple,0.6833599209785461,0.7438586354255676,0.6808897852897644,0.8448736071586609,0.6701672077178955,0.7365126013755798
716,resnext-imagenet,76,4,WoodenBasket,Robot,0.6739702224731445,0.7183657884597778,0.6564157009124756,0.8139453530311584,0.6874828338623047,0.6860300898551941
717,resnext-imagenet,77,4,WoodenBasket,RubberDuck,0.7541215419769287,0.7678280472755432,0.7399594187736511,0.7234148383140564,0.8076565265655518,0.7154256105422974
718,resnext-imagenet,78,4,WoodenBasket,Teddy,0.7400891780853271,0.7484480738639832,0.6995707154273987,0.7536267638206482,0.7458226084709167,0.7149680852890015
719,resnext-imagenet,79,4,WoodenBasket,Truck,0.7140436768531799,0.7736660838127136,0.652677059173584,0.8294798135757446,0.7266590595245361,0.6781262159347534
720,resnext-imagenet,80,5,Basket,BeachBall,0.8368439674377441,0.8636744022369385,0.8005374670028687,0.8681477904319763,0.8975701332092285,0.8564682602882385
721,resnext-imagenet,81,5,Basket,Knight,0.8740988969802856,0.8624329566955566,0.8150447010993958,0.8945707678794861,0.8233818411827087,0.8670804500579834
722,resnext-imagenet,82,5,Basket,Lego,0.8839432001113892,0.8574348092079163,0.804002583026886,0.8743683695793152,0.8431950807571411,0.8608523607254028
