original_index,configuration_index,example_index,scene_type,reference_object,target_object,target_pixel_count,reference_pixel_count,target_count_diff,target_count_ratio,reference_count_diff,reference_count_ratio
9415,58,1863,Support,Basket,Teddy,27558,43173,17250,2.6734575087310826,11178,1.349367088607595
9416,58,1864,Support,CardboardBoxNoFlaps,BeachBall,25117,54481,19324,4.3357500431555325,4808,1.0967930263926076
9417,58,1865,Support,CardboardBoxNoFlaps,Knight,15099,59090,9900,2.904212348528563,7968,1.1558624466961387
9418,58,1866,Support,CardboardBoxNoFlaps,Lego,20117,55280,17709,8.35423588039867,4200,1.082223962411903
9419,58,1867,Support,CardboardBoxNoFlaps,Pineapple,15487,57820,11306,3.704137766084669,6233,1.1208250140539284
9420,58,1868,Support,CardboardBoxNoFlaps,PingPong,15034,60993,12362,5.626497005988024,10050,1.1972793121724281
9421,58,1869,Support,CardboardBoxNoFlaps,Robot,10042,61731,6788,3.0860479409956976,10336,1.201109057301294
9422,58,1870,Support,CardboardBoxNoFlaps,RubberDuck,20114,52043,18143,10.204972095383054,319,1.0061673497795993
9423,58,1871,Support,CardboardBoxNoFlaps,Teddy,26993,52890,19252,3.4870171812427335,2642,1.052579207132622
9424,58,1872,Support,ShortBoxNoFlaps,BeachBall,25117,36512,19323,4.335001725923369,1668,1.047870508552405
9425,58,1873,Support,ShortBoxNoFlaps,Knight,15099,41121,9900,2.904212348528563,4827,1.1329971896181188
9426,58,1874,Support,ShortBoxNoFlaps,Lego,20117,37313,17707,8.347302904564316,1063,1.0293241379310345
9427,58,1875,Support,ShortBoxNoFlaps,Pineapple,15487,39851,11306,3.704137766084669,3092,1.0841154547185723
9428,58,1876,Support,ShortBoxNoFlaps,PingPong,15034,43037,12362,5.626497005988024,6922,1.1916655129447598
9429,58,1877,Support,ShortBoxNoFlaps,Robot,10042,43762,6788,3.0860479409956976,7195,1.196762107911505
9430,58,1878,Support,ShortBoxNoFlaps,RubberDuck,20109,34169,18136,10.192093258996453,-2725,0.926139751721147
9431,58,1879,Support,ShortBoxNoFlaps,Teddy,26983,34931,19242,3.4857253584808165,-489,0.9861942405420666
9432,58,1880,Support,WoodenBasket,BeachBall,25117,51213,15428,2.5923211889771904,18972,1.5884432864985578
9433,58,1881,Support,WoodenBasket,Knight,15296,54357,8130,2.1345241417806307,18746,1.5264103788155345
9434,58,1882,Support,WoodenBasket,Lego,20117,52713,13553,3.064747105423522,19121,1.5692129078351988
9435,58,1883,Support,WoodenBasket,Pineapple,15615,53309,9492,2.550220480156786,17160,1.474701928130792
9436,58,1884,Support,WoodenBasket,PingPong,15034,57382,8703,2.374664350023693,23486,1.6928841161198962
9437,58,1885,Support,WoodenBasket,Robot,10221,57074,5318,2.0846420558841525,20766,1.571940068304506
9438,58,1886,Support,WoodenBasket,RubberDuck,20332,49033,16313,5.058969893008211,12884,1.3564137320534455
9439,58,1887,Support,WoodenBasket,Teddy,27308,49283,17300,2.7286171063149482,14836,1.430690626179348
9440,59,1888,Containment,Basket,BeachBall,6643,20287,0,1.0,0,1.0
9441,59,1889,Containment,Basket,Knight,4884,22474,0,1.0,0,1.0
9442,59,1890,Containment,Basket,Lego,4467,20537,0,1.0,0,1.0
9443,59,1891,Containment,Basket,Pineapple,4060,22812,0,1.0,0,1.0
9444,59,1892,Containment,Basket,PingPong,4367,20989,0,1.0,0,1.0
9445,59,1893,Containment,Basket,Robot,3267,22745,0,1.0,0,1.0
9446,59,1894,Containment,Basket,RubberDuck,2653,22688,0,1.0,0,1.0
9447,59,1895,Containment,Basket,Teddy,6902,21868,0,1.0,0,1.0
9448,59,1896,Containment,CardboardBoxNoFlaps,BeachBall,3813,33179,0,1.0,0,1.0
9449,59,1897,Containment,CardboardBoxNoFlaps,Knight,3608,34027,0,1.0,0,1.0
9450,59,1898,Containment,CardboardBoxNoFlaps,Lego,1354,34081,0,1.0,0,1.0
9451,59,1899,Containment,CardboardBoxNoFlaps,Pineapple,2783,34346,0,1.0,0,1.0
9452,59,1900,Containment,CardboardBoxNoFlaps,PingPong,1678,33918,0,1.0,0,1.0
9453,59,1901,Containment,CardboardBoxNoFlaps,Robot,2158,34140,0,1.0,0,1.0
9454,59,1902,Containment,CardboardBoxNoFlaps,RubberDuck,1198,34439,0,1.0,0,1.0
9455,59,1903,Containment,CardboardBoxNoFlaps,Teddy,5374,33426,0,1.0,0,1.0
9456,59,1904,Containment,ShortBoxNoFlaps,BeachBall,3814,23440,0,1.0,0,1.0
9457,59,1905,Containment,ShortBoxNoFlaps,Knight,3609,24288,0,1.0,0,1.0
9458,59,1906,Containment,ShortBoxNoFlaps,Lego,1355,24342,0,1.0,0,1.0
9459,59,1907,Containment,ShortBoxNoFlaps,Pineapple,2784,24607,0,1.0,0,1.0
9460,59,1908,Containment,ShortBoxNoFlaps,PingPong,1679,24179,0,1.0,0,1.0
9461,59,1909,Containment,ShortBoxNoFlaps,Robot,2158,24402,0,1.0,0,1.0
9462,59,1910,Containment,ShortBoxNoFlaps,RubberDuck,1200,24699,0,1.0,0,1.0
9463,59,1911,Containment,ShortBoxNoFlaps,Teddy,5375,23687,0,1.0,0,1.0
9464,59,1912,Containment,WoodenBasket,BeachBall,6182,22183,0,1.0,0,1.0
9465,59,1913,Containment,WoodenBasket,Knight,4780,24141,0,1.0,0,1.0
9466,59,1914,Containment,WoodenBasket,Lego,3906,22977,0,1.0,0,1.0
9467,59,1915,Containment,WoodenBasket,Pineapple,3905,24611,0,1.0,0,1.0
9468,59,1916,Containment,WoodenBasket,PingPong,3708,23294,0,1.0,0,1.0
9469,59,1917,Containment,WoodenBasket,Robot,3209,24484,0,1.0,0,1.0
9470,59,1918,Containment,WoodenBasket,RubberDuck,2498,24494,0,1.0,0,1.0
9471,59,1919,Containment,WoodenBasket,Teddy,6673,23518,0,1.0,0,1.0
9472,59,1888,High Containment,Basket,BeachBall,14210,20934,7567,2.1390937829293994,647,1.0318923448513826
9473,59,1889,High Containment,Basket,Knight,8356,26893,3472,1.710892710892711,4419,1.1966272136691287
9474,59,1890,High Containment,Basket,Lego,12003,23141,7536,2.687038280725319,2604,1.126795539757511
9475,59,1891,High Containment,Basket,Pineapple,8340,26840,4280,2.0541871921182264,4028,1.1765737331229178
9476,59,1892,High Containment,Basket,PingPong,9375,25769,5008,2.146782688344401,4780,1.2277383391300205
9477,59,1893,High Containment,Basket,Robot,6165,28979,2898,1.8870523415977962,6234,1.27408221587162
9478,59,1894,High Containment,Basket,RubberDuck,10071,25073,7418,3.796079909536374,2385,1.1051216502115655
9479,59,1895,High Containment,Basket,Teddy,14505,20767,7603,2.1015647638365693,-1101,0.9496524602158405
9480,59,1896,High Containment,CardboardBoxNoFlaps,BeachBall,8718,37503,4905,2.2863886703383165,4324,1.1303233973296363
9481,59,1897,High Containment,CardboardBoxNoFlaps,Knight,5623,41113,2015,1.5584811529933482,7086,1.2082463925706057
9482,59,1898,High Containment,CardboardBoxNoFlaps,Lego,5896,40186,4542,4.3545051698670605,6105,1.1791320677210175
9483,59,1899,High Containment,CardboardBoxNoFlaps,Pineapple,4863,41693,2080,1.747394897592526,7347,1.2139113725033484
9484,59,1900,High Containment,CardboardBoxNoFlaps,PingPong,6462,39620,4784,3.8510131108462455,5702,1.1681113273188277
9485,59,1901,High Containment,CardboardBoxNoFlaps,Robot,4087,42067,1929,1.8938832252085265,7927,1.232190978324546
9486,59,1902,High Containment,CardboardBoxNoFlaps,RubberDuck,4133,41949,2935,3.44991652754591,7510,1.218066726676152
9487,59,1903,High Containment,CardboardBoxNoFlaps,Teddy,9036,38485,3662,1.6814291030889468,5059,1.1513492490875366
9488,59,1904,High Containment,ShortBoxNoFlaps,BeachBall,8720,24875,4906,2.2863135815416884,1435,1.0612201365187712
9489,59,1905,High Containment,ShortBoxNoFlaps,Knight,5623,28487,2014,1.5580493211415904,4199,1.1728837285902503
9490,59,1906,High Containment,ShortBoxNoFlaps,Lego,5898,27558,4543,4.352767527675277,3216,1.1321173280749321
